row,hits,n,prodf
"140",200,1,0.001
"141",201,2,0.002
"142",202,4,0.004
"143",203,1,0.001
"144",205,3,0.003
"145",206,1,0.001
"146",207,2,0.002
"147",208,4,0.004
"148",209,1,0.001
"149",210,1,0.001
"150",211,2,0.002
"151",212,2,0.002
"152",213,2,0.002
"153",215,2,0.002
"154",216,2,0.002
"155",217,3,0.003
"156",218,2,0.002
"157",219,1,0.001
"158",220,2,0.002
"159",221,2,0.002
"160",222,2,0.002
"161",223,2,0.002
"162",225,2,0.002
"163",226,2,0.002
"164",227,1,0.001
"165",228,1,0.001
"166",229,2,0.002
"167",231,4,0.004
"168",232,3,0.003
"169",233,2,0.002
"170",234,1,0.001
"171",235,4,0.004
"172",237,1,0.001
"173",238,1,0.001
"174",239,3,0.003
"175",240,1,0.001
"176",241,2,0.002
"177",242,2,0.002
"178",246,1,0.001
"179",247,2,0.002
"180",248,1,0.001
"181",249,1,0.001
"182",251,2,0.002
"183",253,1,0.001
"184",254,1,0.001
"185",255,2,0.002
"186",256,2,0.002
"187",262,1,0.001
"188",266,3,0.003
"189",268,1,0.001
"190",269,2,0.002
"191",270,2,0.002
"192",273,3,0.003
"193",275,1,0.001
"194",276,1,0.001
"195",277,1,0.001
"196",278,2,0.002
"197",280,2,0.002
"198",281,1,0.001
"199",283,2,0.002
"200",284,1,0.001
"201",285,1,0.001
"202",287,3,0.003
"203",288,1,0.001
"204",289,2,0.002
"205",290,2,0.002
"206",293,2,0.002
"207",295,1,0.001
"208",298,1,0.001
"209",300,1,0.001
"210",306,2,0.002
"211",307,1,0.001
"212",309,1,0.001
"213",314,1,0.001
"214",316,1,0.001
"215",327,3,0.003
"216",328,1,0.001
"217",329,1,0.001
"218",330,1,0.001
"219",331,1,0.001
"220",333,1,0.001
"221",334,1,0.001
"222",336,2,0.002
"223",340,1,0.001
"224",341,1,0.001
"225",342,2,0.002
"226",344,1,0.001
"227",346,1,0.001
"228",349,1,0.001
"229",351,2,0.002
"230",353,1,0.001
"231",354,1,0.001
"232",362,1,0.001
"233",371,1,0.001
"234",376,1,0.001
"235",380,1,0.001
"236",383,1,0.001
"237",384,2,0.002
"238",385,2,0.002
"239",386,1,0.001
"240",390,2,0.002
"241",391,2,0.002
"242",392,1,0.001
"243",395,1,0.001
"244",397,1,0.001
"245",398,2,0.002
"246",400,1,0.001
"247",402,1,0.001
"248",405,1,0.001
"249",408,1,0.001
"250",409,1,0.001
"251",411,1,0.001
"252",414,1,0.001
"253",418,1,0.001
"254",423,1,0.001
"255",431,2,0.002
"256",433,1,0.001
"257",434,2,0.002
"258",447,1,0.001
"259",450,1,0.001
"260",454,1,0.001
"261",458,1,0.001
"262",469,1,0.001
"263",472,1,0.001
"264",475,1,0.001
"265",476,1,0.001
"266",481,2,0.002
"267",483,1,0.001
"268",484,1,0.001
"269",486,1,0.001
"270",504,1,0.001
"271",516,1,0.001
"272",517,1,0.001
"273",534,1,0.001
"274",536,1,0.001
"275",539,1,0.001
"276",540,1,0.001
"277",547,1,0.001
"278",549,1,0.001
"279",553,1,0.001
"280",562,1,0.001
"281",565,1,0.001
"282",569,1,0.001
"283",583,1,0.001
"284",586,1,0.001
"285",590,1,0.001
"286",595,2,0.002
"287",599,1,0.001
"288",613,1,0.001
"289",644,1,0.001
"290",650,1,0.001
"291",654,2,0.002
"292",659,1,0.001
"293",670,1,0.001
"294",680,1,0.001
"295",688,1,0.001
"296",763,1,0.001
"297",775,2,0.002
"298",787,1,0.001
"299",804,1,0.001
"300",816,1,0.001
"301",817,1,0.001
"302",827,2,0.002
"303",864,1,0.001
"304",869,1,0.001
"305",927,1,0.001
"306",955,1,0.001
"307",960,1,0.001
"308",981,1,0.001
"309",988,1,0.001
"310",1019,1,0.001
"311",1026,1,0.001
"312",1031,1,0.001
"313",1042,1,0.001
"314",1051,1,0.001
"315",1097,1,0.001
"316",1132,1,0.001
"317",1266,1,0.001
"318",1285,1,0.001
"319",1290,1,0.001
"320",1293,1,0.001
"321",1366,1,0.001
"322",1433,1,0.001
"323",1811,1,0.001
"324",2085,1,0.001
"325",2644,1,0.001
"326",3186,1,0.001
