DOI_i,i,value,year,type,age,Hits,n_citations,pub_decay_time,data_decay_time,alpha
45438631,42949673013,0.9223100952214834,2003,data,15,106,1,1,20,0.25
57158257,472446402679,0.5865740122875033,2004,data,14,146,1,1,20,0.25
358350621,292057776265,0.597546842252948,2004,data,14,354,1,1,20,0.25
254000649,755914244217,0.7456146018170858,2009,data,9,134,1,1,20,0.25
342240345,1073741824139,0.781821268429651,2011,data,7,161,1,1,20,0.25
30407161,1468878815260,0.5399008175688439,2001,data,17,384,1,1,20,0.25
290766003,824633720935,0.7222366086295395,2010,data,8,122,1,1,20,0.25
30043918,1099511627799,0.5106849017281947,2002,data,16,178,1,1,20,0.25
13310415,790273982486,0.5862185351771274,2001,data,17,208,1,1,20,0.25
30407130,541165879329,0.515174360577778,2002,data,16,182,1,1,20,0.25
1438936,661424963584,0.46785414644222023,1996,data,22,409,1,1,20,0.25
29140506,558345748508,0.5993101449440446,2002,data,16,434,1,1,20,0.25
71553748,1529008357430,0.5930894939947742,2005,data,13,688,3,1,20,0.25
71553748,111669149757,0.6775743769463916,2008,data,10,688,3,1,20,0.25
71553748,154618822707,0.6198553533277845,2006,data,12,688,3,1,20,0.25
169887498,403726925912,0.741513722456774,2008,data,10,549,1,1,20,0.25
374352002,798863917228,0.914255720681718,2012,data,6,127,1,1,20,0.25
150373012,111669149782,0.6943263866797394,2007,data,11,266,1,1,20,0.25
295054830,1202590842980,0.9702824076892852,2010,data,8,108,1,1,20,0.25
44885278,1537598292010,0.7723289143946606,2003,data,15,89,1,1,20,0.25
364515570,833223655567,1.0046504513723593,2011,data,7,162,1,1,20,0.25
116075884,197568495686,0.5868350340501224,2006,data,12,174,1,1,20,0.25
117558854,541165879375,0.6028048611916826,2006,data,12,126,1,1,20,0.25
160367075,1451698946117,0.644441341752557,2007,data,11,125,1,1,20,0.25
220962111,523986010244,0.9015126582933507,2013,data,5,104,4,1,20,0.25
220962111,687194767459,0.7603400268437192,2009,data,9,104,4,1,20,0.25
220962111,352187318376,0.8273999649406593,2011,data,7,104,4,1,20,0.25
220962111,1537598292105,0.7930319212575851,2010,data,8,104,4,1,20,0.25
306526293,670014898315,0.9702824076892852,2010,data,8,96,1,1,20,0.25
32401275,1073741824041,0.5573154143125341,2002,data,16,86,1,1,20,0.25
410519462,1486058684431,0.6743007353574559,2002,data,16,164,4,1,20,0.25
410519462,953482739732,0.9657899919219523,2012,data,6,164,4,1,20,0.25
30407139,1322849927169,0.6198553533277845,2006,data,12,397,2,1,20,0.25
30407139,661424963588,0.47761337697435735,2000,data,18,397,2,1,20,0.25
25168256,1340029796360,0.4508524319487267,2001,data,17,150,1,1,20,0.5
313496345,781684047999,0.9828200460356393,2010,data,8,107,1,1,20,0.5
348031532,1546188226714,0.8218755897187134,2011,data,7,78,1,1,20,0.5
261853473,377957122200,0.6532531516217733,2009,data,9,118,1,1,20,0.5
124491690,395136991316,0.5634600735940264,2006,data,12,130,1,1,20,0.5
22002119,1082331758614,0.49620396411722156,2002,data,16,159,1,1,20,0.5
327374765,111669149836,0.8921880897187134,2011,data,7,117,1,1,20,0.5
269939526,1022202216548,0.6711102944789162,2009,data,9,105,1,1,20,0.5
407955691,1382979469509,0.9751932206817179,2012,data,6,103,1,1,20,0.5
16551188,1348619730959,0.4899149319487267,2001,data,17,107,1,1,20,0.5
45438631,42949673013,0.6286165527410147,2003,data,15,106,1,1,20,0.5
57158257,472446402679,0.5278353037914095,2004,data,14,146,1,1,20,0.5
358350621,292057776265,0.5542776114837172,2004,data,14,354,1,1,20,0.5
254000649,755914244217,0.6751281516217733,2009,data,9,134,1,1,20,0.5
342240345,1073741824139,0.7314738040044276,2011,data,7,161,1,1,20,0.5
30407161,1468878815260,0.4664774319487267,2001,data,17,384,1,1,20,0.5
290766003,824633720935,0.6883488921894855,2010,data,8,122,1,1,20,0.5
30043918,1099511627799,0.47063578229903974,2002,data,16,178,1,1,20,0.5
13310415,790273982486,0.4825619907722561,2001,data,17,208,1,1,20,0.5
30407130,541165879329,0.47219481777575817,2002,data,16,182,1,1,20,0.5
1438936,661424963584,0.37974608369807955,1996,data,22,409,1,1,20,0.5
29140506,558345748508,0.5014122974505549,2002,data,16,434,1,1,20,0.5
71553748,1529008357430,0.546716829392595,2005,data,13,688,3,1,20,0.5
71553748,111669149757,0.6312017123442124,2008,data,10,688,3,1,20,0.5
71553748,154618822707,0.5734826887256054,2006,data,12,688,3,1,20,0.5
169887498,403726925912,0.6534056597126334,2008,data,10,549,1,1,20,0.5
374352002,798863917228,0.8283182206817179,2012,data,6,127,1,1,20,0.5
150373012,111669149782,0.617710679945704,2007,data,11,266,1,1,20,0.5
295054830,1202590842980,0.774486712702306,2010,data,8,108,1,1,20,0.5
44885278,1537598292010,0.5765332194076813,2003,data,15,89,1,1,20,0.5
