cited_count,count,prob
3302,1,2.5797571256696954e-08
2881,1,2.5797571256696954e-08
1921,2,5.159514251339391e-08
4872,1,2.5797571256696954e-08
3296,1,2.5797571256696954e-08
155,2534,6.537104556447008e-05
113,5691,0.00014681397802186237
112,5759,0.00014856821286731776
299,381,9.82887464880154e-06
2175,2,5.159514251339391e-08
385,213,5.494882677676451e-06
167,2054,5.298821136125554e-05
831,23,5.933441389040299e-07
1738,3,7.739271377009086e-08
1599,2,5.159514251339391e-08
736,28,7.223319951875146e-07
4131,1,2.5797571256696954e-08
2364,2,5.159514251339391e-08
1882,3,7.739271377009086e-08
1042,9,2.3217814131027257e-07
2400,3,7.739271377009086e-08
2403,1,2.5797571256696954e-08
16127,1,2.5797571256696954e-08
7555,1,2.5797571256696954e-08
241,686,1.7697133882094108e-05
237,762,1.965774929760308e-05
564,76,1.9606154155089686e-06
347,282,7.27491509438854e-06
588,61,1.5736518466585142e-06
602,54,1.3930688478616354e-06
2341,1,2.5797571256696954e-08
10019,1,2.5797571256696954e-08
857,26,6.707368526741208e-07
1636,2,5.159514251339391e-08
1497,5,1.2898785628348477e-07
1547,4,1.0319028502678782e-07
2278,2,5.159514251339391e-08
1983,1,2.5797571256696954e-08
1740,3,7.739271377009086e-08
2882,1,2.5797571256696954e-08
22,245042,0.006321488455883535
530,81,2.089603271792453e-06
414,174,4.4887773986652695e-06
198,1264,3.260813006846495e-05
330,328,8.461603372196601e-06
724,50,1.2898785628348476e-06
1640,7,1.8058299879687866e-07
1211,7,1.8058299879687866e-07
1241,12,3.0957085508036343e-07
9032,1,2.5797571256696954e-08
2355,2,5.159514251339391e-08
1338,3,7.739271377009086e-08
4206,1,2.5797571256696954e-08
1526,2,5.159514251339391e-08
2488,2,5.159514251339391e-08
2263,2,5.159514251339391e-08
2681,2,5.159514251339391e-08
2378,1,2.5797571256696954e-08
3368,3,7.739271377009086e-08
2612,1,2.5797571256696954e-08
2966,2,5.159514251339391e-08
2489,1,2.5797571256696954e-08
1711,1,2.5797571256696954e-08
4478,1,2.5797571256696954e-08
7996,1,2.5797571256696954e-08
130,3912,0.00010092009875619848
196,1312,3.3846413488786404e-05
1059,11,2.837732838236665e-07
487,118,3.0441134082902402e-06
427,155,3.998623544788028e-06
486,97,2.5023644118996046e-06
932,14,3.611659975937573e-07
1152,12,3.0957085508036343e-07
1374,3,7.739271377009086e-08
823,19,4.901538538772421e-07
2282,3,7.739271377009086e-08
1157,10,2.5797571256696954e-07
1403,5,1.2898785628348477e-07
1050,7,1.8058299879687866e-07
2473,1,2.5797571256696954e-08
2277,4,1.0319028502678782e-07
3821,1,2.5797571256696954e-08
1428,1,2.5797571256696954e-08
2439,1,2.5797571256696954e-08
1972,1,2.5797571256696954e-08
7,1421897,0.03668148917718363
77,15348,0.00039594112364778485
677,38,9.803077077544843e-07
1527,7,1.8058299879687866e-07
1873,1,2.5797571256696954e-08
2983,1,2.5797571256696954e-08
1760,6,1.5478542754018172e-07
1505,3,7.739271377009086e-08
1979,2,5.159514251339391e-08
1353,5,1.2898785628348477e-07
2241,1,2.5797571256696954e-08
2720,1,2.5797571256696954e-08
2007,2,5.159514251339391e-08
34,102648,0.002648069094357429
184,1540,3.9728259735313305e-05
635,45,1.160890706551363e-06
532,81,2.089603271792453e-06
4051,3,7.739271377009086e-08
858,12,3.0957085508036343e-07
1041,16,4.1276114010715126e-07
1540,5,1.2898785628348477e-07
1427,4,1.0319028502678782e-07
1687,3,7.739271377009086e-08
4492,1,2.5797571256696954e-08
1529,5,1.2898785628348477e-07
3311,2,5.159514251339391e-08
