doi,type_code,downloads,citation,datarank_value,prob
10.6084/m9.figshare.92091,3,371,1,0.9349251922212158,0.0018832391713747645
10.6084/m9.figshare.156844,3,28,2,0.9441193481520818,0.003766478342749529
10.6084/m9.figshare.4811404,3,25,1,1.0070821709308222,0.0018832391713747645
10.6084/m9.figshare.5877727.v1,3,1,1,1.0094656931443275,0.0018832391713747645
10.6084/m9.figshare.3483146.v1,3,42,1,0.9734016407328501,0.0018832391713747645
10.6084/m9.figshare.96382,3,46,2,0.9371759723357134,0.003766478342749529
10.6084/m9.figshare.136747010.6084/m9.figshare.1367470,3,50,1,0.9669788366849916,0.0018832391713747645
10.6084/m9.figshare.811802,3,15,1,0.9432360987746511,0.0018832391713747645
10.6084/m9.figshare.2062140,3,83,2,0.9725173704806548,0.003766478342749529
10.6084/m9.figshare.4640719,3,117,2,0.9841955670052562,0.003766478342749529
10.6084/m9.figshare.640020,3,25,2,0.9429419408681652,0.003766478342749529
10.6084/m9.figshare.5285269.v1,3,128,1,0.9826244944213738,0.0018832391713747645
10.6084/m9.figshare.651717,3,38,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.6369134,3,10,1,1.0003288181348409,0.0018832391713747645
10.6084/m9.figshare.679764,3,28,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.962952,3,88,1,0.9541155033340429,0.0018832391713747645
10.6084/m9.figshare.97091,3,62,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.97213,3,373,2,0.9332601077732251,0.003766478342749529
10.6084/m9.figshare.677103,3,17,2,0.943334409962804,0.003766478342749529
10.6084/m9.figshare.695020,3,11,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.4787575.v1,3,95,1,0.980945620443866,0.0018832391713747645
10.6084/m9.figshare.732739,3,335,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.4769746.v1,3,214,1,0.9994439410996003,0.0018832391713747645
10.6084/m9.figshare.5687770,3,24,1,0.9997577634467478,0.0018832391713747645
10.6084/m9.figshare.5640796,3,15,1,0.9913979589389988,0.0018832391713747645
10.6084/m9.figshare.97386,3,33,2,0.9329764944056839,0.003766478342749529
10.6084/m9.figshare.1052996,3,218,1,0.9521637044104766,0.0018832391713747645
10.6084/m9.figshare.4563574.v2,3,221,1,0.9809339317072246,0.0018832391713747645
10.6084/m9.figshare.5053291.v1,3,169,1,0.9812110009808495,0.0018832391713747645
10.6084/m9.figshare.6470705.v1,3,18,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.156848,3,43,2,0.9505205225509457,0.003766478342749529
10.6084/m9.figshare.4003401,3,260,1,0.9716582954702895,0.0018832391713747645
10.6084/m9.figshare.1108081,3,449,1,0.9632806475735716,0.0018832391713747645
10.6084/m9.figshare.97572,3,56,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.5231245.v1,3,396,1,0.9852536806964217,0.0018832391713747645
10.6084/m9.figshare.5629732,3,1,1,1.0218212400321562,0.0018832391713747645
10.6084/m9.figshare.6967439,3,51,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.106266,3,20,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.157262,3,25,2,0.9540203400744566,0.003766478342749529
10.6084/m9.figshare.177727,3,33,2,0.9454542577281607,0.003766478342749529
10.6084/m9.figshare.157209,3,30,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.1582705.v1,3,1691,1,0.9791834112108952,0.0018832391713747645
10.6084/m9.figshare.4524536.v3,3,315,1,0.9826244944213738,0.0018832391713747645
10.6084/m9.figshare.157058,3,21,3,0.9437524721466006,0.005649717514124294
10.6084/m9.figshare.157060,3,15,3,0.9437524721466006,0.005649717514124294
10.6084/m9.figshare.5853777,3,18,1,0.993933370183116,0.0018832391713747645
10.6084/m9.figshare.1297064.v1,3,242,1,0.9628102488843312,0.0018832391713747645
10.6084/m9.figshare.813320,3,69,3,0.9497094895951822,0.005649717514124294
10.6084/m9.figshare.384520,3,39,2,0.9457843950155186,0.003766478342749529
10.6084/m9.figshare.4644466,3,46,1,0.998546660435181,0.0018832391713747645
10.6084/m9.figshare.5687791.v1,3,20,1,1.0675700405849728,0.0018832391713747645
10.6084/m9.figshare.106268,3,20,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.1164194,3,634,10,1.0382366467867028,0.018832391713747645
10.6084/m9.figshare.1284624,3,470,1,0.967383504607283,0.0018832391713747645
10.6084/m9.figshare.828487,3,89,1,1.0291359008624663,0.0018832391713747645
10.6084/m9.figshare.833944,3,1253,1,0.942814523494559,0.0018832391713747645
10.6084/m9.figshare.3120697,3,51,1,0.9721347376538464,0.0018832391713747645
10.6084/m9.figshare.690946,3,44,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.c.2185342,3,12,1,0.9918736200609718,0.0018832391713747645
10.6084/m9.figshare.6280796,3,12,1,1.0025314576460562,0.0018832391713747645
10.6084/m9.figshare.98108,3,11,2,0.9350020587316177,0.003766478342749529
10.6084/m9.figshare.1031637.v2,3,3432,1,0.9552464988583332,0.0018832391713747645
10.6084/m9.figshare.4635310,3,0,1,0.9821983700143846,0.0018832391713747645
10.6084/m9.figshare.6137270,3,10,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.1157786,3,535,1,0.9528535735700419,0.0018832391713747645
10.6084/m9.figshare.5211916,3,35,1,1.0191736228419073,0.0018832391713747645
10.6084/m9.figshare.6086198.v1,3,10,1,1.0218212400321562,0.0018832391713747645
10.6084/m9.figshare.1190796,3,316,1,0.9520484801032875,0.0018832391713747645
10.6084/m9.figshare.5016599,3,93,1,0.9877615273699777,0.0018832391713747645
10.6084/m9.figshare.845664,3,206,1,0.9448937118822179,0.0018832391713747645
10.6084/m9.figshare.96380,3,12,4,0.9358589713750555,0.007532956685499058
10.6084/m9.figshare.1246898,3,77,1,0.9526794125794055,0.0018832391713747645
10.6084/m9.figshare.157323,3,23,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.717189,3,394,1,0.9426490744804096,0.0018832391713747645
10.6084/m9.figshare.157260,3,42,2,0.9540203400744566,0.003766478342749529
10.6084/m9.figshare.97387,3,55,2,0.9329764944056839,0.003766478342749529
10.6084/m9.figshare.3171442.v1,3,19,1,0.9722150629026494,0.0018832391713747645
10.6084/m9.figshare.3206962,3,109,1,0.9789695693805294,0.0018832391713747645
10.6084/m9.figshare.729084,3,54,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.1120486,3,192,1,0.9537380832936332,0.0018832391713747645
10.6084/m9.figshare.5562007,3,58,1,0.9839138724548355,0.0018832391713747645
10.6084/m9.figshare.863785,3,34,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.4806631,3,227,2,0.9850503155359923,0.003766478342749529
10.6084/m9.figshare.5900236.v1,3,4,1,1.0013235585592606,0.0018832391713747645
10.6084/m9.figshare.6789899,3,53,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.97571,3,18,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.156849,3,15,2,0.9478083614371621,0.003766478342749529
10.6084/m9.figshare.4733020,3,30,1,0.991848188943851,0.0018832391713747645
10.6084/m9.figshare.5202850,3,10,1,0.9847904061308546,0.0018832391713747645
10.6084/m9.figshare.656793,3,164,1,0.9719672174251992,0.0018832391713747645
10.6084/m9.figshare.979190,3,1648,5,0.9629825790320685,0.009416195856873822
10.6084/m9.figshare.6632942,3,18,1,0.997647343947274,0.0018832391713747645
10.6084/m9.figshare.4806619,3,278,2,0.9850503155359923,0.003766478342749529
10.6084/m9.figshare.4816720,3,432,1,0.9852536806964217,0.0018832391713747645
10.6084/m9.figshare.3120676,3,59,1,0.9721347376538464,0.0018832391713747645
10.6084/m9.figshare.786497,3,341,2,0.9524821755384867,0.003766478342749529
10.6084/m9.figshare.157059,3,19,3,0.9437524721466006,0.005649717514124294
10.6084/m9.figshare.6852896,3,8,1,0.9932269743774669,0.0018832391713747645
10.6084/m9.figshare.154970,3,100,2,0.9441804894302477,0.003766478342749529
10.6084/m9.figshare.157211,3,21,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.94031,3,129,2,0.9441193481520818,0.003766478342749529
10.6084/m9.figshare.4542433.v6,3,456,1,0.9852536806964217,0.0018832391713747645
10.6084/m9.figshare.3085837.v1,3,338,1,0.9711409539318121,0.0018832391713747645
10.6084/m9.figshare.4659169.v1,3,26,2,1.055196976100378,0.003766478342749529
10.6084/m9.figshare.5483461,3,131,2,0.992218014837092,0.003766478342749529
10.6084/m9.figshare.640097,3,25,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.741709,3,43,1,0.952262021026818,0.0018832391713747645
10.6084/m9.figshare.5259415,3,44,1,0.9814002482513794,0.0018832391713747645
10.6084/m9.figshare.679768,3,22,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.5382565.v1,3,125,2,1.0146366694875004,0.003766478342749529
10.6084/m9.figshare.156048,3,41,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.5675431.v2,3,39,1,0.9857721579123122,0.0018832391713747645
10.6084/m9.figshare.679765,3,38,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.5384089.v4,3,20,1,0.9827196246611627,0.0018832391713747645
10.6084/m9.figshare.5545639,3,33,1,0.9825321949923012,0.0018832391713747645
10.6084/m9.figshare.154680,3,16,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.1402186,3,297,1,0.9624199845741455,0.0018832391713747645
10.6084/m9.figshare.1305596.v5,3,423,1,0.9654581377654132,0.0018832391713747645
10.6084/m9.figshare.646164,3,153,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.4640725,3,114,2,0.9841955670052562,0.003766478342749529
10.6084/m9.figshare.4753687.v1,3,14,1,0.9820743381984989,0.0018832391713747645
10.6084/m9.figshare.154683,3,19,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.827254,3,46,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.95949,3,87,1,0.943379110813268,0.0018832391713747645
10.6084/m9.figshare.1015289.v1,3,1045,1,0.9555199859019526,0.0018832391713747645
10.6084/m9.figshare.1141971,3,20,1,0.9726852594179145,0.0018832391713747645
10.6084/m9.figshare.5484178.v1,3,25,1,0.9839801003383665,0.0018832391713747645
10.6084/m9.figshare.6126641.v1,3,87,1,0.9983709163470936,0.0018832391713747645
10.6084/m9.figshare.106269,3,20,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.384505,3,23,2,0.9457843950155186,0.003766478342749529
10.6084/m9.figshare.646166,3,19,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.6137198,3,23,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.3114310,3,111,1,0.9731810339543546,0.0018832391713747645
10.6084/m9.figshare.703572,3,33,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.813321,3,166,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.154385,3,22,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.811808,3,84,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.97388,3,38,2,0.9329764944056839,0.003766478342749529
10.6084/m9.figshare.97570,3,17,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.4960157.v2,3,10,1,0.9871883826890127,0.0018832391713747645
10.6084/m9.figshare.4765477.v1,3,363,1,0.9924930894665138,0.0018832391713747645
10.6084/m9.figshare.5195710.v1,3,25,1,0.982494539718805,0.0018832391713747645
10.6084/m9.figshare.4038048,3,85,1,0.9765570703267292,0.0018832391713747645
10.6084/m9.figshare.5853420.v3,3,10,1,0.9983709163470936,0.0018832391713747645
10.6084/m9.figshare.818973,3,43,2,0.9501836973029548,0.003766478342749529
10.6084/m9.figshare.106813,3,18,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.4114032.v1,3,57,1,0.9740962548421411,0.0018832391713747645
10.6084/m9.figshare.6768449,3,53,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.96320,3,31,2,0.9415750357233884,0.003766478342749529
10.6084/m9.figshare.5178004.v1,3,52,3,0.9944520254541798,0.005649717514124294
10.6084/m9.figshare.5339497,3,132,1,1.013442793209639,0.0018832391713747645
10.6084/m9.figshare.5687551.v1,3,60,1,0.9961922683664052,0.0018832391713747645
10.6084/m9.figshare.677102,3,15,2,0.943334409962804,0.003766478342749529
10.6084/m9.figshare.103775,3,12,2,0.9421577857050534,0.003766478342749529
10.6084/m9.figshare.177734,3,20,2,0.9454542577281607,0.003766478342749529
10.6084/m9.figshare.845665,3,612,1,0.9448937118822179,0.0018832391713747645
10.6084/m9.figshare.106265,3,22,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.4564831.v1,3,19,1,0.9863209837388878,0.0018832391713747645
10.6084/m9.figshare.640098,3,30,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.97066,3,27,2,0.9341263956405018,0.003766478342749529
10.6084/m9.figshare.5640868,3,17,1,0.9913979589389988,0.0018832391713747645
10.6084/m9.figshare.714097,3,20,1,0.9472687734318693,0.0018832391713747645
10.6084/m9.figshare.103774,3,16,2,0.9421577857050534,0.003766478342749529
10.6084/m9.figshare.4954436.v1,3,1451,1,0.9831886388666339,0.0018832391713747645
10.6084/m9.figshare.5981551,3,3,1,1.004029252513683,0.0018832391713747645
10.6084/m9.figshare.638007,3,43,1,0.9434639070780841,0.0018832391713747645
10.6084/m9.figshare.679840,3,31,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.811811,3,27,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.5799342,3,0,1,1.0106078025205134,0.0018832391713747645
10.6084/m9.figshare.656873,3,58,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.677101,3,32,2,0.943334409962804,0.003766478342749529
10.6084/m9.figshare.4753681,3,19,1,0.9820743381984989,0.0018832391713747645
10.6084/m9.figshare.6137312,3,10,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.687996,3,20,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.97068,3,33,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.5264119,3,133,1,0.9842678282492908,0.0018832391713747645
10.6084/m9.figshare.638006,3,26,1,0.9434639070780841,0.0018832391713747645
10.6084/m9.figshare.656876,3,49,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.157206,3,33,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.5498020,3,53,1,0.9873310298192628,0.0018832391713747645
10.6084/m9.figshare.679766,3,42,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.106270,3,21,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.6789911,3,51,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.154685,3,295,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.427708,3,40,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.679767,3,43,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.384509,3,13,2,0.9457843950155186,0.003766478342749529
10.6084/m9.figshare.1202194,3,15,1,0.9735214306971829,0.0018832391713747645
10.6084/m9.figshare.157208,3,28,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.6137192,3,29,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.95948,3,288,3,0.9357409728695212,0.005649717514124294
10.6084/m9.figshare.775365,3,59,1,0.9420261796473413,0.0018832391713747645
10.6084/m9.figshare.904908,3,20,1,0.9580521289289555,0.0018832391713747645
10.6084/m9.figshare.640094,3,38,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.701173,3,50,1,0.9450917859995831,0.0018832391713747645
10.6084/m9.figshare.154682,3,14,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.3978216.v1,3,27,1,0.9868738214891125,0.0018832391713747645
10.6084/m9.figshare.4341020.v1,3,29,1,0.9715454804077982,0.0018832391713747645
10.6084/m9.figshare.4954523.v1,3,3,1,0.9855556949348712,0.0018832391713747645
10.6084/m9.figshare.5445241.v1,3,26,1,0.9869654374685859,0.0018832391713747645
10.6084/m9.figshare.1507481.v4,3,306,2,0.9866396400179518,0.003766478342749529
10.6084/m9.figshare.5552656,3,129,2,1.0180086712781977,0.003766478342749529
10.6084/m9.figshare.5820753,3,0,1,1.0106078025205134,0.0018832391713747645
10.6084/m9.figshare.659413,3,102,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.97229,3,17,2,0.9441193481520818,0.003766478342749529
10.6084/m9.figshare.105910,3,37,2,0.9434227371125977,0.003766478342749529
10.6084/m9.figshare.678215,3,19,2,0.9436395249245711,0.003766478342749529
10.6084/m9.figshare.640022,3,46,2,0.9429419408681652,0.003766478342749529
10.6084/m9.figshare.155304,3,38,2,0.9442200157640889,0.003766478342749529
10.6084/m9.figshare.5330908,3,11,1,0.9882790191792467,0.0018832391713747645
10.6084/m9.figshare.646165,3,24,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.3203809.v1,3,290,1,0.9898613929436676,0.0018832391713747645
10.6084/m9.figshare.106267,3,20,4,0.9433410893062509,0.007532956685499058
10.6084/m9.figshare.1186832.v23,3,2205,1,0.9658444465419896,0.0018832391713747645
10.6084/m9.figshare.5277025.v1,3,113,1,0.9871883826890127,0.0018832391713747645
10.6084/m9.figshare.157079,3,18,3,0.9580040655538763,0.005649717514124294
10.6084/m9.figshare.5437420.v1,3,145,1,0.9985656046031527,0.0018832391713747645
10.6084/m9.figshare.678214,3,20,2,0.9436395249245711,0.003766478342749529
10.6084/m9.figshare.1305840,3,30,1,0.9619155752225487,0.0018832391713747645
10.6084/m9.figshare.4114041.v1,3,67,1,0.9740962548421411,0.0018832391713747645
10.6084/m9.figshare.4257596,3,27,1,0.9961592373634646,0.0018832391713747645
10.6084/m9.figshare.154681,3,21,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.815938,3,17,1,0.9437772823165931,0.0018832391713747645
10.6084/m9.figshare.1321361.v5,3,729,2,0.9816706920569763,0.003766478342749529
10.6084/m9.figshare.679762,3,34,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.1226921,3,15,1,0.9518148480070523,0.0018832391713747645
10.6084/m9.figshare.4753684.v1,3,4,1,0.9820743381984989,0.0018832391713747645
10.6084/m9.figshare.6789902,3,49,1,1.0150130815429446,0.0018832391713747645
10.6084/m9.figshare.5384101.v3,3,22,1,0.9827196246611627,0.0018832391713747645
10.6084/m9.figshare.640021,3,85,2,0.9429419408681652,0.003766478342749529
10.6084/m9.figshare.656872,3,43,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.103772,3,26,2,0.9421577857050534,0.003766478342749529
10.6084/m9.figshare.5947855,3,5,1,1.0106078025205134,0.0018832391713747645
10.6084/m9.figshare.5319250.v1,3,25,1,0.9863209837388878,0.0018832391713747645
10.6084/m9.figshare.97389,3,32,2,0.9329764944056839,0.003766478342749529
10.6084/m9.figshare.97466,3,34,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.159692,3,35,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.1252208,3,29,2,0.9523166308057655,0.003766478342749529
10.6084/m9.figshare.154684,3,83,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.3756600,3,128,1,0.9783284860400866,0.0018832391713747645
10.6084/m9.figshare.1517750,3,195,1,0.9722302555475892,0.0018832391713747645
10.6084/m9.figshare.98605,3,47,1,0.9425494717735264,0.0018832391713747645
10.6084/m9.figshare.1252207,3,29,1,0.9516679282602867,0.0018832391713747645
10.6084/m9.figshare.4308917,3,23,1,0.9834860271145375,0.0018832391713747645
10.6084/m9.figshare.679769,3,34,2,0.9423724022977866,0.003766478342749529
10.6084/m9.figshare.900915,3,28,1,0.9576304741498453,0.0018832391713747645
10.6084/m9.figshare.97468,3,29,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.3545033.v1,3,24,1,0.9910035023198535,0.0018832391713747645
10.6084/m9.figshare.6073886.v1,3,15,2,1.0141522798948832,0.003766478342749529
10.6084/m9.figshare.1400482,3,259,1,0.9679321346564778,0.0018832391713747645
10.6084/m9.figshare.4640728,3,118,2,0.9841955670052562,0.003766478342749529
10.6084/m9.figshare.103767,3,13,2,0.9421577857050534,0.003766478342749529
10.6084/m9.figshare.878459,3,367,1,0.9422768516578893,0.0018832391713747645
10.6084/m9.figshare.177736,3,12,2,0.9454542577281607,0.003766478342749529
10.6084/m9.figshare.5896627.v1,3,6,1,1.0013235585592606,0.0018832391713747645
10.6084/m9.figshare.6323240.v1,3,35,1,0.9985738695811893,0.0018832391713747645
10.6084/m9.figshare.97467,3,27,2,0.9329713451507995,0.003766478342749529
10.6084/m9.figshare.1008029,3,2892,2,0.9577358611525599,0.003766478342749529
10.6084/m9.figshare.1536518,3,317,1,0.9610997155227596,0.0018832391713747645
10.6084/m9.figshare.5414350,3,30,1,0.9825564500943575,0.0018832391713747645
10.6084/m9.figshare.656874,3,64,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.6849011.v1,3,7,1,0.9959733162765049,0.0018832391713747645
10.6084/m9.figshare.1486354,3,70,1,0.9615335691177349,0.0018832391713747645
10.6084/m9.figshare.678213,3,29,2,0.9436395249245711,0.003766478342749529
10.6084/m9.figshare.97385,3,26,2,0.9329764944056839,0.003766478342749529
10.6084/m9.figshare.6131024,3,6,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.4640707,3,120,1,0.9822475591404869,0.0018832391713747645
10.6084/m9.figshare.775366,3,65,1,0.9420261796473413,0.0018832391713747645
10.6084/m9.figshare.924740,3,96,1,0.9612539238383485,0.0018832391713747645
10.6084/m9.figshare.97212,3,35,2,0.9332601077732251,0.003766478342749529
10.6084/m9.figshare.894979,3,45,1,0.9576304741498453,0.0018832391713747645
10.6084/m9.figshare.97231,3,54,2,0.9441193481520818,0.003766478342749529
10.6084/m9.figshare.650543,3,27,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.6409235.v1,3,8,1,0.9997577634467478,0.0018832391713747645
10.6084/m9.figshare.880756,3,935,1,0.9578720341038742,0.0018832391713747645
10.6084/m9.figshare.154686,3,20,2,0.9424373377464867,0.003766478342749529
10.6084/m9.figshare.709569,3,28,2,0.9464741627199148,0.003766478342749529
10.6084/m9.figshare.155780,3,18,3,0.9488289772877478,0.005649717514124294
10.6084/m9.figshare.95925,3,55,3,0.935062556566927,0.005649717514124294
10.6084/m9.figshare.157210,3,31,2,0.943555566305821,0.003766478342749529
10.6084/m9.figshare.103706,3,27,1,0.9436514541298651,0.0018832391713747645
10.6084/m9.figshare.155795,3,51,3,0.9452967554359982,0.005649717514124294
10.6084/m9.figshare.1265047,3,90,1,0.9514294573022494,0.0018832391713747645
10.6084/m9.figshare.384512,3,17,2,0.9457843950155186,0.003766478342749529
10.6084/m9.figshare.154797,3,99,3,0.9475544971801014,0.005649717514124294
10.6084/m9.figshare.963054.v1,3,2141,3,0.9849675293128454,0.005649717514124294
10.6084/m9.figshare.1418386,3,99,1,0.9614848595356271,0.0018832391713747645
10.6084/m9.figshare.834938,3,69,1,0.9441193481520818,0.0018832391713747645
10.6084/m9.figshare.3442985,3,102,1,0.9712569693418216,0.0018832391713747645
10.6084/m9.figshare.4707316,3,635,1,0.9833344908451646,0.0018832391713747645
10.6084/m9.figshare.640096,3,31,1,0.942353237226207,0.0018832391713747645
10.6084/m9.figshare.811807,3,25,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.2062650,3,42,1,0.9751683101581415,0.0018832391713747645
10.6084/m9.figshare.847286,3,20,1,0.9429419408681652,0.0018832391713747645
10.6084/m9.figshare.3398317,3,30,1,0.9713296110818151,0.0018832391713747645
10.6084/m9.figshare.6133121,3,6,1,0.994562703553798,0.0018832391713747645
10.6084/m9.figshare.4887020,3,21,1,0.9824542613606988,0.0018832391713747645
10.6084/m9.figshare.5853750.v1,3,5,1,0.9979926853199151,0.0018832391713747645
10.6084/m9.figshare.6137315,3,45,1,0.994562703553798,0.0018832391713747645
