age,count,prob
66.0,45340,0.0009746481211808771
175.0,302,6.491921759960849e-06
307.0,1,2.1496429668744533e-08
291.0,11,2.3646072635618988e-07
243.0,28,6.01900030724847e-07
325.0,10,2.1496429668744533e-07
385.0,2,4.2992859337489066e-08
68.0,39748,0.0008544400864732577
461.0,1,2.1496429668744533e-08
19.0,876667,0.018845210508409264
53.0,128244,0.002756788126438474
3.0,2419388,0.0520082039834045
61.0,62931,0.0013527918154837622
189.0,149,3.2029680206429354e-06
195.0,213,4.5787395194425855e-06
362.0,1,2.1496429668744533e-08
341.0,4,8.598571867497813e-08
81.0,22431,0.0004821864138996086
59.0,74419,0.0015997427995182994
202.0,48,1.0318286240997376e-06
221.0,41,8.813536164185259e-07
46.0,228918,0.004920919686909661
338.0,4,8.598571867497813e-08
352.0,3,6.44892890062336e-08
333.0,7,1.5047500768121174e-07
28.0,536369,0.011530018484994837
254.0,10,2.1496429668744533e-07
57.0,87367,0.0018780785708692037
2.0,2271472,0.04882853809252248
289.0,8,1.7197143734995626e-07
87.0,18801,0.000404154374202066
183.0,181,3.890853770042761e-06
198.0,91,1.9561750998557523e-06
176.0,296,6.362943181948382e-06
371.0,2,4.2992859337489066e-08
428.0,2,4.2992859337489066e-08
17.0,973722,0.020931546489909265
347.0,16,3.4394287469991253e-07
200.0,57,1.2252964911184383e-06
257.0,6,1.289785780124672e-07
441.0,2,4.2992859337489066e-08
454.0,1,2.1496429668744533e-08
431.0,1,2.1496429668744533e-08
463.0,1,2.1496429668744533e-08
152.0,604,1.2983843519921698e-05
153.0,618,1.3284793535284122e-05
187.0,139,2.98800372395549e-06
290.0,3,6.44892890062336e-08
119.0,3740,8.039664696110456e-05
135.0,1861,4.0004855613533574e-05
196.0,157,3.3749394579928916e-06
315.0,1,2.1496429668744533e-08
38.0,330169,0.007097454687299714
420.0,2,4.2992859337489066e-08
277.0,3,6.44892890062336e-08
27.0,565398,0.01215403834184882
138.0,1600,3.4394287469991255e-05
141.0,1552,3.3362458845891516e-05
10.0,1772293,0.03809797182690825
115.0,4704,0.00010111920516177428
208.0,51,1.096317913105971e-06
261.0,4,8.598571867497813e-08
73.0,18931,0.00040694891005900273
263.0,3,6.44892890062336e-08
40.0,293856,0.0063168548367385936
30.0,497923,0.010703566749950284
125.0,3029,6.51126854666272e-05
343.0,9,1.934678670187008e-07
316.0,22,4.7292145271237975e-07
13.0,1367379,0.02939376650401823
99.0,6778,0.00014570280029475044
194.0,83,1.7842036625057961e-06
211.0,28,6.01900030724847e-07
260.0,26,5.589071713873578e-07
127.0,2531,5.440746349159241e-05
256.0,24,5.159143120498688e-07
188.0,109,2.343110833893154e-06
335.0,22,4.7292145271237975e-07
95.0,11378,0.0002445863767709753
276.0,22,4.7292145271237975e-07
519.0,3,6.44892890062336e-08
407.0,2,4.2992859337489066e-08
185.0,193,4.148810926067695e-06
224.0,23,4.944178823811242e-07
102.0,5100,0.00010963179131059712
100.0,5565,0.00011962763110656333
131.0,2316,4.978573111281234e-05
354.0,33,7.093821790685696e-07
33.0,419676,0.009021535617660031
84.0,20686,0.0004446751441276494
283.0,1,2.1496429668744533e-08
92.0,13588,0.00029209348633890073
172.0,319,6.857361064329506e-06
327.0,3,6.44892890062336e-08
374.0,1,2.1496429668744533e-08
6.0,2242788,0.048211934503904215
233.0,35,7.523750384060587e-07
269.0,32,6.878857493998251e-07
425.0,3,6.44892890062336e-08
20.0,820077,0.01762872755345501
227.0,25,5.374107417186134e-07
52.0,140660,0.003023687797205606
32.0,445176,0.009569694574213016
228.0,27,5.804036010561024e-07
222.0,18,3.869357340374016e-07
24.0,670872,0.014421352764729983
97.0,9459,0.00020333472823665455
15.0,1114175,0.02395078452617344
5.0,2312859,0.04971821082722281
265.0,4,8.598571867497813e-08
422.0,4,8.598571867497813e-08
105.0,6413,0.00013785660346565869
319.0,3,6.44892890062336e-08
89.0,17350,0.00037296305475271763
363.0,2,4.2992859337489066e-08
192.0,122,2.622564419586833e-06
360.0,1,2.1496429668744533e-08
190.0,131,2.816032286605534e-06
117.0,4286,9.213369756023907e-05
240.0,36,7.738714680748032e-07
126.0,2749,5.909368515937872e-05
163.0,430,9.24346475756015e-06
55.0,104827,0.0022534062328854834
136.0,1763,3.7898205505996615e-05
209.0,30,6.44892890062336e-07
306.0,7,1.5047500768121174e-07
226.0,30,6.44892890062336e-07
418.0,1,2.1496429668744533e-08
520.0,4,8.598571867497813e-08
383.0,1,2.1496429668744533e-08
223.0,24,5.159143120498688e-07
26.0,595853,0.012808712107410436
9.0,1867566,0.040146001170738556
65.0,48317,0.0010386429923047297
304.0,1,2.1496429668744533e-08
16.0,1040734,0.02237206523487117
150.0,811,1.7433604461351815e-05
244.0,43,9.243464757560149e-07
12.0,1492276,0.03207860608035542
429.0,1,2.1496429668744533e-08
313.0,9,1.934678670187008e-07
278.0,1,2.1496429668744533e-08
507.0,1,2.1496429668744533e-08
54.0,116874,0.0025123737211048486
174.0,308,6.6209003379733165e-06
43.0,252228,0.0054220014624880965
76.0,16820,0.00036156994702828306
148.0,840,1.8057000921745407e-05
158.0,500,1.0748214834372266e-05
398.0,1,2.1496429668744533e-08
90.0,15318,0.00032928230966582876
322.0,1,2.1496429668744533e-08
417.0,1,2.1496429668744533e-08
91.0,14715,0.0003163199625755758
110.0,5702,0.00012257264197118134
203.0,52,1.1178143427747157e-06
