doi,hits,i,type,age,value
KR711248,177,106969965,data,4.0,0.8187354095963434
AP012495,103,98803119,data,7.0,0.7050300454557964
KT031982,106,90316182,data,4.0,0.8190110944895441
FJ616285 AY446869,97,109626862,data,10.0,0.606531833848748
L43967 U39679-U39729,101,89154444,data,24.0,0.30119428561859585
JX903612,217,103177181,data,7.0,0.7046901692087946
KC810021,119,108255384,data,6.0,0.74085467291961
CP009361,192,108301519,data,5.0,0.781327513196062
HG738867,334,98978961,data,6.0,0.740861784994212
CP000462,126,96203266,data,13.0,0.5220474720080713
KR476791,120,105147094,data,4.0,0.8189003423269516
AE014297 AE002644 AE002699 AE002708 AE003216 AE003600-AE003607,670,110634294,data,19.0,0.3878857561716344
JW868382,70,88739010,data,7.0,0.7046883737645934
AJ566640,89,102831952,data,16.0,0.44932919354396195
AF250365,176,110373737,data,19.0,0.3867410236225851
BC047343,192,102835035,data,16.0,0.4493289641174225
AY048744,172,93597773,data,18.0,0.4065696598679354
CP011343,280,94900924,data,4.0,0.8189851369514365
AE014298 AE002566 AE002593 AE002611 AE002620 AE002629 AE002634,595,96977869,data,19.0,0.3878857561716344
AP014958,115,110248000,data,4.0,0.8187716428677698
CM000685,68,93210252,data,6.0,0.7408182291093738
CP000521,613,86057378,data,13.0,0.5220473128141043
AE001437 AE007513-AE007868,150,87091499,data,18.0,0.40656966545184153
CP000438 AABQ07000000 AABQ07000001 AABQ07000002 AABQ07000003,278,92949698,data,13.0,0.5220474720080713
KJ796484,147,106833373,data,5.0,0.7789951469271478
FM991728,134,110538267,data,10.0,0.6066232170656984
CP008816,173,96594716,data,5.0,0.7804852698211763
FN545816,181,108198923,data,10.0,0.6065496968026654
EU621618,194,98957249,data,11.0,0.5769498393095296
CP010415,221,91776716,data,5.0,0.7789484898366366
CP001340,104,88530311,data,10.0,0.6066232170656984
CP003265,249,101404131,data,7.0,0.7047007547460128
AY187314,239,85535510,data,17.0,0.4274149329535051
FN649414,157,89856597,data,10.0,0.60653991544794
AY048746,222,91254926,data,18.0,0.4065696598679354
FR821777,114,92328371,data,8.0,0.6704458445211028
CP001956,185,102185407,data,9.0,0.6376466630923864
KJ776791,91,106443386,data,5.0,0.783854243320719
KT006149,191,89537235,data,4.0,0.8324674822445325
AE016825 AE016910 AE016911 AE016912 AE016913 AE016914 AE016915,207,96326981,data,16.0,0.44932896603543476
AY187315,128,93987549,data,17.0,0.4274149329535051
CP000058 AAEZ01000000 AAEZ01000001-AAEZ01000028 AY922993,688,104399713,data,14.0,0.49658551167358933
AY156793,66,110118034,data,17.0,0.4274149320994526
CP000967,177,90088089,data,11.0,0.5771769730493067
FJ027543,194,110796390,data,11.0,0.5769498312572171
CM001879 ALXC01000000,88,86187433,data,7.0,0.7046901281662271
CP012870,644,93470301,data,4.0,0.8233096628001654
AE009952 AE013601-AE014015,159,93593703,data,17.0,0.4274149629982596
CP010867,96,86577485,data,4.0,0.8190829769027652
AE015928 AE016926-AE016946,172,101528013,data,17.0,0.42741587778059675
BC110286,137,109859668,data,14.0,0.4965853037916105
KM593907,97,95775894,data,5.0,0.7790755176547359
CP011551,101,90477714,data,4.0,0.8187420116586757
U00096,2085,102439106,data,22.0,0.33287194135265485
AE014073 AE016978 AE016979 AE016980 AE016981 AE016982 AE016983,178,99838108,data,17.0,0.42741501635010776
BX571856,869,103878376,data,15.0,0.47236655991060034
HQ849547,273,106142969,data,8.0,0.6703201532021339
CP009273,256,98154741,data,5.0,0.783854243320719
CP000133,94,100494396,data,14.0,0.49658534064460635
CP012004,128,97244546,data,4.0,0.8190001007086986
AE014074 AE014136-AE014172,195,99838109,data,17.0,0.42741493283585624
CP007136,121,102576719,data,5.0,0.7800641481337334
FJ966086,111,97271873,data,10.0,0.606530727812528
CP000744 AAQE01000000 AAQE01000001-AAQE01000147,117,104790183,data,12.0,0.5489041934470914
AY048742,220,105569244,data,18.0,0.4065696598679354
CP002038,96,90737728,data,9.0,0.6378797485927002
KC312605,149,86921197,data,7.0,0.7047028441959555
FN554766,79,95580961,data,10.0,0.6065769383891659
CP012868,309,99325640,data,4.0,0.8233096628001654
FN869568,154,111058054,data,9.0,0.6376307189378032
HM441076,106,88575531,data,9.0,0.6377539501072368
CP011305,197,106742316,data,4.0,0.8233096628001654
FJ217162,121,89854895,data,11.0,0.5769504068698006
JX910446,251,95372646,data,7.0,0.7047655507242343
KC439514,113,95636105,data,6.0,0.7408394537079755
BX571857,276,101404021,data,15.0,0.47236655991060034
CP011331,135,108301524,data,4.0,0.8189357788864378
AM942759,158,89955981,data,11.0,0.576956073518283
AY156803,181,107000112,data,17.0,0.4274149320994526
AY187316,108,92816688,data,17.0,0.4274149329535051
JQ909382,107,110575875,data,7.0,0.7046895356203502
AE005176 AE006239-AE006456,131,103480815,data,18.0,0.4065696711630839
GU214026,138,105744686,data,10.0,0.6065349975914425
KP659661,273,104494002,data,4.0,0.8190169349356183
CP012802,219,88919525,data,4.0,0.8311775201699478
JQ250035,328,96137338,data,8.0,0.6710039575098052
CP002585,117,105050663,data,8.0,0.6705716430065662
GU734771,122,106916127,data,9.0,0.6376744302983058
LM999999,83,108031435,data,5.0,0.7788379643540548
AE017125 AE017144 AE017145 AE017146 AE017147 AE017148 AE017149,90,107774567,data,16.0,0.44932896675476475
AF541999,86,107904974,data,17.0,0.42741497649490806
DQ433281,181,87751491,data,13.0,0.5220457788954113
CP006794,117,103357257,data,6.0,0.7412919009978058
FJ172221,71,107937066,data,11.0,0.5769500072009914
KF769016,89,89267260,data,6.0,0.7409477965855464
AL935263 AL935252-AL935262,161,96850944,data,8.0,0.6710039593853915
CP002818,431,101014599,data,8.0,0.6703511329208287
AE013599 AE002575 AE002640 AE002644 AE002709 AE002726 AE002769,362,93333757,data,19.0,0.3878857561716344
BC069452,170,98544605,data,15.0,0.47236655274121564
CP001398,115,95683020,data,10.0,0.6065647096599552
CP000046,173,92035899,data,15.0,0.4723667086526495
AL111168 AL139074-AL139079,397,96330081,data,19.0,0.38674563161376624
CM000994,161,101274474,data,8.0,0.6703209664364023
